ACARAJÉ        Comida tipimente baiana                                        
ALAN TURING    Pai da ciência da computação                                   
AMARELINHA     Jogo de pular em uma e em duas pernas                          
BARACK OBAMA   44° presidente dos estados unidos                              
BARNEY         Dinossauro roxo de série infantil                              
BATMAN         Inimigo do Coringa                                             
BEAR GRYLLS    Apresentador do programa À Prova de Tudo                       
BERIMBAL       Instrumento utilizado na capoeira                              
BILL GATES     Fundador da Microsoft                                          
BILLIE JOE     Vocalista da banda Green Day                                   
BOB ESPONJA    Personagem amarelo de desenho infantil que vive no fundo do mar
CALCULADORA    Maquina para resolver contas matemáticas                       
CARNAVAL       Festa típica brasileira conhecida pelos seus desfiles          
CELULAR        Computador portátil                                            
CENOURA        Raiz comestível que era roxa no passado                        
CÉSAR CIELO    Nadador brasileiro mais rápido do mundo                        
CHICO          Professor de TP do Cotuca                                      
CHINA          País com a maior população do mundo                            
CHINA          País com a maior população do mundo                            
COALA          Animal símbolo da Austrália                                    
COMPUTADOR     Maquina usada para resolver problemas                          
CRISTO REDENTORUma das sete maravilhas do mundo moderno                       
CRUZEIRO DO SULConstelação que forma uma cruz                                 
DAMON ALBARN   Vocalista da banda Blur e co-criador da banda Gorillaz         
DARTH VADER    Vilão mais famoso da série Star Wars                           
DAVID BOWIE    Camaleão do rock                                               
EDGAR ALLAN POETerror clássico                                                
ESTOJO         Guarda lápis                                                   
FACEBOOK       Rede social mais utilizada no mundo                            
FELIPE NETO    Youtuber carioca com maior numero de inscritos do Brasil       
